Name,Stadt,Type,Land,Kontakt,Name
LRA Waldeck-Frankenberg,Waldeck-Frankenberg,Stadt,Hessen,N,
LR Main-Kinzig-Kreis,Main-Kinzig-Kreis,Landkreis,Hessen,N,
LRA Limburg-Weilburg,Limburg-Weilburg,Stadt,Hessen,N,
LR Main-Taunus-Kreis,Main-Taunus-Kreis,Landkreis,Hessen,N,
LR Hochtaunuskreis,Hochtaunuskreis,Landkreis,Hessen,N,
LR Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis,Landkreis,Hessen,N,
LRA Lahn-Dill-Kreis,Lahn-Dill-Kreis,Landkreis,Hessen,N,
STV Wetzlar,Wetzlar,Stadt,Hessen,N,
OB Hanau,Hanau,Stadt,Hessen,N,
OB Bad Homburg v. d. Hoehe,Bad Homburg,Stadt,Hessen,N,
STV Marburg,Marburg,Stadt,Hessen,N,
OB Rüsselsheim am Main,Rüsselsheim am Main,Stadt,Hessen,N,
ZAB Gießen beim RP,Gießen beim,Stadt,Hessen,N,
Stadtamt Hansestadt Rostock,Rostock,Stadt,Mecklenburg-Vorpommern,N,
LKR Rostock,Rostock,Stadt,Mecklenburg-Vorpommern,N,
LKR Vorpommern-Greifswald,Vorpommern-Greifswald,Stadt,Mecklenburg-Vorpommern,N,
LKR Nordwestmecklenburg,Nordwestmecklenburg,Stadt,Mecklenburg-Vorpommern,N,
LAiV Nostorf (ABH),Nostorf,Stadt,Mecklenburg-Vorpommern,N,
LAiV Schwerin-Stern Buchholz (ABH),Schwerin-Stern Buchholz,Stadt,Mecklenburg-Vorpommern,N,
LAiV Schwerin-Stern Buchholz (ZAB f. d. Fachkräfteeinwanderung),Schwerin-Stern Buchholz (ZAB f. d. Fachkräfteeinwanderung,Stadt,Mecklenburg-Vorpommern,N,
LKR Vorpommern-Rügen,Vorpommern-Rügen,Stadt,Mecklenburg-Vorpommern,N,
LKR Ludwigslust - Parchim,Ludwigslust-Parchim,Stadt,Mecklenburg-Vorpommern,N,
STV Schwerin,Schwerin,Stadt,Mecklenburg-Vorpommern,N,
LKR Mecklenburg Seenplatte Neubrandenburg,Mecklenburg Seenplatte Neubrandenburg,Stadt,Mecklenburg-Vorpommern,N,
LAB NI Hauptsitz,NI Hauptsitz,Stadt,Niedersachsen,N,
LAB NI Ausländerrecht,NI Ausländerrecht,Stadt,Niedersachsen,N,
LAB NI Rückführung,NI Rückführung,Stadt,Niedersachsen,N,
STV Hameln,Hamelin,Stadt,Niedersachsen,N,
LHH Hannover,Hannover,Stadt,Niedersachsen,N,
KRV Diepholz,Diepholz,Stadt,Niedersachsen,N,
KRV Hameln-Pyrmont,Hameln-Pyrmont,Stadt,Niedersachsen,N,
Ausländerbehörde Region Hannover,Hanover Region,Stadt,Niedersachsen,N,
KRV Nienburg/Weser,"Nienburg, Lower Saxony",Stadt,Niedersachsen,N,
KRV Schaumburg,Schaumburg,Stadt,Niedersachsen,N,
STV Göttingen,Göttingen,Stadt,Niedersachsen,N,
STV Hildesheim,Hildesheim,Stadt,Niedersachsen,N,
KRV Göttingen,Göttingen,Stadt,Niedersachsen,N,
KRV Hildesheim,Hildesheim,Stadt,Niedersachsen,N,
KRV Holzminden,Holzminden,Stadt,Niedersachsen,N,
LKR Northeim,Northeim,Stadt,Niedersachsen,N,
KRV Peine,Peine,Stadt,Niedersachsen,N,
STV Celle,Celle,Stadt,Niedersachsen,N,
Hansestadt Lüneburg,Lüneburg,Stadt,Niedersachsen,N,
STV Wolfsburg,Wolfsburg,Stadt,Niedersachsen,N,
KRV Celle,Celle,Stadt,Niedersachsen,N,
Landkreis Heidekreis,Heidekreis,Stadt,Niedersachsen,N,
KRV Gifhorn,Gifhorn,Stadt,Niedersachsen,N,
KRV Harburg,Harburg,Stadt,Niedersachsen,N,
KRV Lüchow-Dannenberg,Lüchow-Dannenberg,Stadt,Niedersachsen,N,
KRV Uelzen,Uelzen,Stadt,Niedersachsen,N,
STV Cuxhaven,Cuxhaven,Stadt,Niedersachsen,N,
KRV Osterholz,Osterholz,Stadt,Niedersachsen,N,
KRV Rotenburg,Rotenburg,Stadt,Niedersachsen,N,
KRV Stade,Stade,Stadt,Niedersachsen,N,
KRV Verden,Verden,Stadt,Niedersachsen,N,
STV Osnabrück,Osnabrück,Stadt,Niedersachsen,N,
KRV Grafschaft Bentheim,Grafschaft Bentheim,Stadt,Niedersachsen,N,
STV Lingen,Lingen,Stadt,Niedersachsen,N,
KRV Osnabrück,Osnabrück,Stadt,Niedersachsen,N,
STV Emden,Emden,Stadt,Niedersachsen,N,
KRV Aurich,Aurich,Stadt,Niedersachsen,N,
KRV Leer,Leer,Stadt,Niedersachsen,N,
KRV Wittmund,Wittmund,Stadt,Niedersachsen,N,
STV Braunschweig,Braunschweig,Stadt,Niedersachsen,N,
STV Salzgitter,Salzgitter,Stadt,Niedersachsen,N,
KRV Goslar,Goslar,Stadt,Niedersachsen,N,
KRV Helmstedt,Helmstedt,Stadt,Niedersachsen,N,
KRV Wolfenbüttel,Wolfenbüttel,Stadt,Niedersachsen,N,
STV Delmenhorst,Delmenhorst,Stadt,Niedersachsen,N,
STV Oldenburg,Oldenburg,Stadt,Niedersachsen,N,
STV Wilhelmshaven,Wilhelmshaven,Stadt,Niedersachsen,N,
KRV Ammerland,Ammerland,Stadt,Niedersachsen,N,
KRV Cloppenburg,Cloppenburg,Stadt,Niedersachsen,N,
KRV Friesland,Friesland,Stadt,Niedersachsen,N,
LKR Oldenburg,Oldenburg,Stadt,Niedersachsen,N,
LKR Vechta,Vechta,Stadt,Niedersachsen,N,
LK Wesermarsch,Wesermarsch,Stadt,Niedersachsen,N,
ABH Landkreis Cuxhaven,Cuxhaven,Stadt,Niedersachsen,N,
KRV Emsland,Emsland,Stadt,Niedersachsen,N,
Bezirksregierung Arnsberg,Arnsberg,Stadt,Nordrhein-Westfalen,N,
ABH Stadt Elsdorf,Stadt Elsdorf,Stadt,Nordrhein-Westfalen,N,
STV Dormagen,Dormagen,Stadt,Nordrhein-Westfalen,N,
STV Wesel,Wesel,Stadt,Nordrhein-Westfalen,N,
ZAB und EAE Bielefeld,und EAE Bielefeld,Stadt,Nordrhein-Westfalen,N,
STV Kerpen,Kerpen,Stadt,Nordrhein-Westfalen,N,
STV Bergheim,Bergheim,Stadt,Nordrhein-Westfalen,N,
StädteRegion Aachen,Aachen,Stadt,Nordrhein-Westfalen,N,
KRV Düren,Düren,Stadt,Nordrhein-Westfalen,N,
